case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
25,fz025,aggregate,lineitem+orders,0.025,1,mut_drop_purpose,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_drop_clearance,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_drop_region,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_drop_cross_guard,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_drop_acl,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_no_group_guard,0,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,post_join_filter,1,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,view_barrier,1,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,predicate_injection,1,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,pcqv_forced,1,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,pcqv,1,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,oracle_order,1,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,unsafe_late_aggregate,0,0,89,52,
26,fz026,aggregate,products+lineitem,0.5,5,mut_no_mask,0,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,mut_drop_tenant,0,0,73,40,
26,fz026,aggregate,products+lineitem,0.5,5,mut_drop_purpose,0,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,mut_drop_clearance,0,0,5,5,
26,fz026,aggregate,products+lineitem,0.5,5,mut_drop_region,0,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,mut_drop_cross_guard,0,0,74,37,
26,fz026,aggregate,products+lineitem,0.5,5,mut_drop_acl,0,1,0,0,
26,fz026,aggregate,products+lineitem,0.5,5,mut_no_group_guard,0,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,post_join_filter,1,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,view_barrier,1,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,predicate_injection,1,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,pcqv_forced,1,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,pcqv,1,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,oracle_order,1,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,unsafe_late_aggregate,0,0,10,5,
27,fz027,aggregate,tickets+customers,0.1,3,mut_no_mask,0,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,mut_drop_tenant,0,0,10,5,
27,fz027,aggregate,tickets+customers,0.1,3,mut_drop_purpose,0,0,8,4,
27,fz027,aggregate,tickets+customers,0.1,3,mut_drop_clearance,0,0,2,1,
27,fz027,aggregate,tickets+customers,0.1,3,mut_drop_region,0,0,10,5,
27,fz027,aggregate,tickets+customers,0.1,3,mut_drop_cross_guard,0,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,mut_drop_acl,0,1,0,0,
27,fz027,aggregate,tickets+customers,0.1,3,mut_no_group_guard,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,post_join_filter,1,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,view_barrier,1,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,predicate_injection,1,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,pcqv_forced,1,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,pcqv,1,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,oracle_order,1,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,unsafe_late_aggregate,0,0,10,5,
28,fz028,aggregate,products+lineitem,0.25,1,mut_no_mask,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,mut_drop_tenant,0,0,10,5,
28,fz028,aggregate,products+lineitem,0.25,1,mut_drop_purpose,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,mut_drop_clearance,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,mut_drop_region,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,mut_drop_cross_guard,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,mut_drop_acl,0,1,0,0,
28,fz028,aggregate,products+lineitem,0.25,1,mut_no_group_guard,0,1,0,0,
29,fz029,rows,tickets,0.1,4,post_join_filter,1,1,0,0,
29,fz029,rows,tickets,0.1,4,view_barrier,1,1,0,0,
29,fz029,rows,tickets,0.1,4,predicate_injection,1,1,0,0,
29,fz029,rows,tickets,0.1,4,pcqv_forced,1,1,0,0,
29,fz029,rows,tickets,0.1,4,pcqv,1,1,0,0,
29,fz029,rows,tickets,0.1,4,oracle_order,1,1,0,0,
29,fz029,rows,tickets,0.1,4,unsafe_late_aggregate,0,1,0,0,
29,fz029,rows,tickets,0.1,4,mut_no_mask,0,1,0,0,
29,fz029,rows,tickets,0.1,4,mut_drop_tenant,0,0,250,181,
29,fz029,rows,tickets,0.1,4,mut_drop_purpose,0,0,44,44,
29,fz029,rows,tickets,0.1,4,mut_drop_clearance,0,1,0,0,
29,fz029,rows,tickets,0.1,4,mut_drop_region,0,1,0,0,
29,fz029,rows,tickets,0.1,4,mut_drop_cross_guard,0,1,0,0,
29,fz029,rows,tickets,0.1,4,mut_drop_acl,0,1,0,0,
29,fz029,rows,tickets,0.1,4,mut_no_group_guard,0,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,post_join_filter,1,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,view_barrier,1,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,predicate_injection,1,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,pcqv_forced,1,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,pcqv,1,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,oracle_order,1,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,unsafe_late_aggregate,0,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,mut_no_mask,0,0,60,30,
30,fz030,rows,tickets+customers,0.1,6,mut_drop_tenant,0,0,198,184,
30,fz030,rows,tickets+customers,0.1,6,mut_drop_purpose,0,0,13,13,
30,fz030,rows,tickets+customers,0.1,6,mut_drop_clearance,0,0,4,4,
30,fz030,rows,tickets+customers,0.1,6,mut_drop_region,0,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,mut_drop_cross_guard,0,1,0,0,
30,fz030,rows,tickets+customers,0.1,6,mut_drop_acl,0,0,77,77,
