selectivity,complexity,query,method,latency_ms,rows,error
0.25,3,q10_acl_customer_rows,oblivious_forced,0.185,70,
0.25,3,q10_acl_customer_rows,pcqv_no_order,0.1706,70,
0.25,3,q10_acl_customer_rows,pcqv_no_stats,0.2384,70,
0.25,3,q10_acl_customer_rows,pcqv_greedy,0.1907,70,
0.25,3,q10_acl_customer_rows,pcqv_forced,0.287,70,
0.25,3,q10_acl_customer_rows,pcqv,0.1761,70,
0.25,3,q10_acl_customer_rows,oracle_order,0.1972,70,
0.25,3,q11_order_ticket_bridge,oblivious_forced,1.3789,18,
0.25,3,q11_order_ticket_bridge,pcqv_no_order,1.0636,18,
0.25,3,q11_order_ticket_bridge,pcqv_no_stats,1.2024,18,
0.25,3,q11_order_ticket_bridge,pcqv_greedy,1.3713,18,
0.25,3,q11_order_ticket_bridge,pcqv_forced,1.3584,18,
0.25,3,q11_order_ticket_bridge,pcqv,0.7353,18,
0.25,3,q11_order_ticket_bridge,oracle_order,1.1327,18,
0.25,3,q12_product_segment_revenue,oblivious_forced,1.3962,26,
0.25,3,q12_product_segment_revenue,pcqv_no_order,2.5557,26,
0.25,3,q12_product_segment_revenue,pcqv_no_stats,1.6401,26,
0.25,3,q12_product_segment_revenue,pcqv_greedy,2.6864,26,
0.25,3,q12_product_segment_revenue,pcqv_forced,1.5834,26,
0.25,3,q12_product_segment_revenue,pcqv,2.4809,26,
